User,Initial mood,Current mood,Target mood,Mood threshold,Done,Is scenario changed,Action id,Iteration,Time,Mood change,light intensity,Light color,Temperature,Music type,Music volume,Fragrance,Initial relax,Initial arousal,Current relax,Current arousal
User 1 (F21),0,3,3,6,True,False,46,7,105,6,2,3,2,0,2,0,10,10,52,10
User 1 (F21),0,3,3,5,True,False,14,8,120,5,3,3,2,0,2,0,10,10,50,10
User 1 (F21),0,3,3,4,True,False,6,10,150,4,3,0,2,0,2,0,10,10,50,10
User 1 (F21),0,3,3,3,True,False,2,13,195,3,3,0,1,0,2,0,10,10,49,10
User 1 (F21),1,2,2,6,True,False,4974,7,105,6,0,2,2,5,3,0,10,70,52,70
User 1 (F21),1,2,2,5,True,False,41,8,120,5,0,2,2,8,3,0,10,70,50,70
User 1 (F21),1,2,2,4,True,False,1,9,135,4,0,2,1,8,3,0,10,70,50,70
User 1 (F21),1,2,2,3,True,False,1,9,135,4,0,2,1,8,3,0,10,70,50,70
User 1 (F21),2,3,3,6,True,False,6,4,60,6,3,0,2,0,2,0,70,70,70,46
User 1 (F21),2,3,3,5,True,False,2,5,75,5,3,0,1,0,2,0,70,70,70,45
User 1 (F21),2,3,3,4,True,False,1,5,75,4,3,0,1,0,0,0,70,70,70,46
User 1 (F21),2,3,3,3,True,False,1,5,75,4,3,0,1,0,0,0,70,70,70,46
User 1 (F21),3,2,2,6,True,False,201372,7,105,6,2,0,2,3,3,5,70,10,70,52
User 1 (F21),3,2,2,5,True,False,14750,8,120,5,0,0,2,3,3,5,70,10,70,50
User 1 (F21),3,2,2,4,True,False,2655,10,150,4,0,2,2,3,3,5,70,10,70,50
User 1 (F21),3,2,2,3,True,False,113,13,195,3,0,2,2,8,3,5,70,10,70,49
User 2 (M26),0,3,3,6,True,False,764,7,105,6,4,0,1,5,1,4,10,10,52,10
User 2 (M26),2,3,3,6,True,False,333651,4,60,6,4,0,0,1,1,4,70,70,70,46
User 2 (M26),1,2,2,6,True,False,18,7,105,6,0,2,1,5,3,2,10,70,52,70
User 2 (M26),3,2,2,6,True,False,11,7,105,6,0,2,1,8,3,5,70,10,70,52
User 2 (M26),0,3,3,5,True,False,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),0,3,3,4,True,False,8,10,150,4,3,0,1,5,1,0,10,10,50,10
User 2 (M26),0,3,3,3,True,False,2,13,195,3,3,0,1,0,1,0,10,10,49,10
User 2 (M26),1,2,2,5,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
User 2 (M26),1,2,2,4,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
User 2 (M26),1,2,2,3,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
User 2 (M26),2,3,3,5,True,False,8790,5,75,5,3,0,0,1,1,4,70,70,70,45
User 2 (M26),2,3,3,4,True,False,168,6,90,4,3,0,1,5,1,4,70,70,70,46
User 2 (M26),2,3,3,3,True,False,9,8,120,3,3,0,1,5,1,0,70,70,70,46
User 2 (M26),3,2,2,5,True,False,1,7,105,5,0,2,1,8,3,0,70,10,70,50
User 2 (M26),3,2,2,4,True,False,1,7,105,5,0,2,1,8,3,0,70,10,70,50
User 2 (M26),3,2,2,3,True,False,1,7,105,5,0,2,1,8,3,0,70,10,70,50
User 3 (F52),0,3,3,6,True,False,71296,7,105,6,3,7,1,0,0,0,10,10,52,10
User 3 (F52),0,3,3,5,True,False,451,8,120,5,3,0,1,0,0,0,10,10,50,10
User 3 (F52),0,3,3,4,True,False,68,10,150,4,3,0,1,5,0,0,10,10,50,10
User 3 (F52),0,3,3,3,True,False,1,12,180,3,3,0,1,5,2,0,10,10,49,10
User 3 (F52),1,2,2,6,True,False,106064,7,105,6,0,2,1,0,3,0,10,70,52,70
User 3 (F52),1,2,2,5,True,False,23121,8,120,5,1,2,1,0,3,0,10,70,50,70
User 3 (F52),1,2,2,4,True,False,5842,10,150,4,1,2,2,0,3,0,10,70,50,70
User 3 (F52),1,2,2,3,True,False,1811,13,195,3,1,2,2,5,3,0,10,70,49,70
User 3 (F52),0,3,3,3,True,False,1,12,180,3,3,0,1,5,2,0,10,10,49,10
User 3 (F52),0,3,3,4,True,False,68,10,150,4,3,0,1,5,0,0,10,10,50,10
User 3 (F52),0,3,3,5,True,False,451,8,120,5,3,0,1,0,0,0,10,10,50,10
User 3 (F52),0,3,3,6,True,False,71296,7,105,6,3,7,1,0,0,0,10,10,52,10
User 3 (F52),2,3,3,3,True,False,1,7,105,3,3,0,2,0,2,0,70,70,70,46
User 3 (F52),2,3,3,4,True,False,2,6,90,4,3,0,2,0,0,0,70,70,70,46
User 3 (F52),2,3,3,5,True,False,10,5,75,5,3,0,1,0,0,0,70,70,70,45
User 3 (F52),2,3,3,6,True,False,104732,4,60,6,3,7,1,0,0,0,70,70,70,46
User 3 (F52),3,2,2,2,True,False,1,12,180,3,0,2,2,8,4,0,70,10,70,49
User 3 (F52),3,2,2,3,True,False,1,12,180,3,0,2,2,8,4,0,70,10,70,49
User 3 (F52),3,2,2,4,True,False,5,10,150,4,0,2,2,8,3,0,70,10,70,50
User 3 (F52),3,2,2,5,True,False,53,8,120,5,0,2,1,8,3,0,70,10,70,50
User 3 (F52),3,2,2,6,True,False,5206,7,105,6,0,2,1,5,3,0,70,10,70,52
6,4,0,1,5,1,4
6,4,0,1,5,1,4
6,4,0,1,5,1,4
6,0,2,1,8,3,5
