User,Initial mood,Current mood,Target mood,Mood threshold,Done,Is scenario changed,Action id,Iteration,Time,Mood change,light intensity,Light color,Temperature,Music type,Music volume,Fragrance,Initial relax,Initial arousal,Current relax,Current arousal
User 1 (F21),0,3,2,6,False,True,46,7,105,6,2,3,2,0,2,0,10,10,52,10
User 1 (F21),3,2,2,6,True,False,201379,7,105,6,2,0,2,3,3,5,52,10,52,52
User 1 (F21),0,3,2,5,False,True,14,8,120,5,3,3,2,0,2,0,10,10,50,10
User 1 (F21),3,2,2,5,True,False,14755,8,120,5,0,0,2,3,3,5,50,10,50,50
User 1 (F21),0,3,2,4,False,True,6,10,150,4,3,0,2,0,2,0,10,10,50,10
User 1 (F21),3,2,2,4,True,False,2659,10,150,4,0,2,2,3,3,5,50,10,50,50
User 1 (F21),0,3,2,3,False,True,2,13,195,3,3,0,1,0,2,0,10,10,49,10
User 1 (F21),3,2,2,3,True,False,115,13,195,3,0,2,2,8,3,5,49,10,49,49
User 1 (F21),1,2,3,6,False,True,101936,7,105,6,0,2,2,5,3,0,10,70,52,70
User 1 (F21),2,3,3,6,True,False,7,4,60,6,3,0,2,0,2,0,52,70,52,46
User 1 (F21),1,2,3,5,False,True,41,8,120,5,0,2,2,8,3,0,10,70,50,70
User 1 (F21),2,3,3,5,True,False,3,5,75,5,3,0,1,0,2,0,50,70,50,45
User 1 (F21),1,2,3,4,False,True,1,9,135,4,0,2,1,8,3,0,10,70,50,70
User 1 (F21),2,3,3,4,True,False,2,6,90,4,3,0,1,0,0,0,50,70,50,46
User 1 (F21),1,2,3,3,False,True,1,9,135,4,0,2,1,8,3,0,10,70,50,70
User 1 (F21),2,3,3,3,True,False,2,6,90,4,3,0,1,0,0,0,50,70,50,46
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,2,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,4,False,True,8,10,150,4,3,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,4,True,False,2,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,3,False,True,2,13,195,3,3,0,1,0,1,0,10,10,49,10
User 2 (M26),3,2,2,3,True,False,2,8,120,5,0,2,1,8,3,0,49,10,49,50
User 2 (M26),1,2,3,3,False,True,1,7,105,5,0,2,1,5,3,0,10,70,50,70
User 2 (M26),2,3,3,3,True,False,10,8,120,3,3,0,1,5,1,0,50,70,50,46
User 3 (F52),0,3,2,3,False,True,1,12,180,3,3,0,1,5,2,0,10,10,49,10
User 3 (F52),3,2,2,3,True,False,1,13,195,3,3,0,1,5,2,0,49,10,49,49
User 3 (F52),0,3,2,4,False,True,965,10,150,4,0,2,1,0,0,0,10,10,50,10
User 3 (F52),3,2,2,4,True,False,6,10,150,4,0,2,2,8,3,0,50,10,50,50
User 3 (F52),0,3,2,5,False,True,63365,8,120,5,0,7,1,0,0,0,10,10,50,10
User 3 (F52),3,2,2,5,True,False,54,8,120,5,0,2,1,8,3,0,50,10,50,50
User 3 (F52),1,2,3,3,False,True,1811,13,195,3,1,2,2,5,3,0,10,70,49,70
User 3 (F52),2,3,3,3,True,False,2,8,120,3,3,0,2,0,2,0,49,70,49,46
User 3 (F52),1,2,3,4,False,True,5842,10,150,4,1,2,2,0,3,0,10,70,50,70
User 3 (F52),2,3,3,4,True,False,3,6,90,4,3,0,2,0,0,0,50,70,50,46
User 3 (F52),1,2,3,5,False,True,23121,8,120,5,1,2,1,0,3,0,10,70,50,70
User 3 (F52),2,3,3,5,True,False,11,5,75,5,3,0,1,0,0,0,50,70,50,45
User 2 (M26),0,3,2,6,False,True,324380,7,105,6,4,0,1,5,1,4,10,10,52,10
User 2 (M26),3,2,2,6,True,False,13,7,105,6,0,2,1,8,3,5,52,10,52,52
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,1,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,1,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
User 2 (M26),3,2,2,5,True,False,44,8,120,5,0,2,1,8,3,0,50,10,50,50
User 2 (M26),0,3,2,5,False,True,44,8,120,5,4,0,1,5,1,0,10,10,50,10
