Timestamp,User,Initial mood,Current mood,Target mood,Mood threshold,Done,Is scenario changed,Action id,Iteration,Time,Mood change,light intensity,Light color,Temperature,Music type,Music volume,Fragrance,Initial relax,Initial arousal,Current relax,Current arousal
2024-08-24 20:44:18.941236,User 1 (F21),0,3,3,3,True,False,2,13,195,3,3,0,1,0,2,0,10,10,49,10
2024-08-24 20:44:32.354710,User 1 (F21),0,3,3,4,True,False,6,10,150,4,3,0,2,0,2,0,10,10,50,10
2024-08-24 20:44:43.796774,User 1 (F21),0,3,3,5,True,False,14,8,120,5,3,3,2,0,2,0,10,10,50,10
2024-08-24 20:44:47.368125,User 1 (F21),0,3,3,6,True,False,46,7,105,6,2,3,2,0,2,0,10,10,52,10
2024-08-24 20:45:02.464821,User 1 (F21),1,2,2,3,True,False,1,9,135,4,0,2,1,8,3,0,10,70,50,70
2024-08-24 20:45:06.327124,User 1 (F21),1,2,2,4,True,False,1,9,135,4,0,2,1,8,3,0,10,70,50,70
2024-08-24 20:45:10.584737,User 1 (F21),1,2,2,5,True,False,41,8,120,5,0,2,2,8,3,0,10,70,50,70
2024-08-24 20:45:17.380411,User 1 (F21),1,2,2,6,True,False,4974,7,105,6,0,2,2,5,3,0,10,70,52,70
2024-08-24 20:45:45.480838,User 1 (F21),2,3,3,3,True,False,1,5,75,4,3,0,1,0,0,0,70,70,70,46
2024-08-24 20:45:51.537885,User 1 (F21),2,3,3,4,True,False,1,5,75,4,3,0,1,0,0,0,70,70,70,46
2024-08-24 20:45:58.018326,User 1 (F21),2,3,3,5,True,False,2,5,75,5,3,0,1,0,2,0,70,70,70,45
2024-08-24 20:46:03.128659,User 1 (F21),2,3,3,6,True,False,6,4,60,6,3,0,2,0,2,0,70,70,70,46
2024-08-24 20:46:14.865296,User 1 (F21),3,2,2,3,True,False,113,13,195,3,0,2,2,8,3,5,70,10,70,49
2024-08-24 20:46:18.566751,User 1 (F21),3,2,2,4,True,False,2655,10,150,4,0,2,2,3,3,5,70,10,70,50
2024-08-24 20:46:26.429648,User 1 (F21),3,2,2,5,True,False,14750,8,120,5,0,0,2,3,3,5,70,10,70,50
2024-08-24 20:47:30.675168,User 1 (F21),3,2,2,6,True,False,201372,7,105,6,2,0,2,3,3,5,70,10,70,52
2024-08-24 20:48:16.266045,User 2 (M26),0,3,3,3,True,False,2,13,195,3,3,0,1,0,1,0,10,10,49,10
2024-08-24 20:48:23.285163,User 2 (M26),0,3,3,4,True,False,8,10,150,4,3,0,1,5,1,0,10,10,50,10
2024-08-24 20:48:26.314053,User 2 (M26),0,3,3,5,True,False,44,8,120,5,4,0,1,5,1,0,10,10,50,10
2024-08-24 20:48:29.910804,User 2 (M26),0,3,3,6,True,False,764,7,105,6,4,0,1,5,1,4,10,10,52,10
2024-08-24 20:48:36.723732,User 2 (M26),1,2,2,6,True,False,18,7,105,6,0,2,1,5,3,2,10,70,52,70
2024-08-24 20:48:39.927025,User 2 (M26),1,2,2,3,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
2024-08-24 20:48:42.852978,User 2 (M26),1,2,2,4,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
2024-08-24 20:48:46.340877,User 2 (M26),1,2,2,5,True,False,1,7,105,5,0,2,1,5,3,0,10,70,50,70
